Tumtum | Hecuba | The bend in the trail in the dwarf forest | Fri Oct 25 08:40:56 2002
Derintal | Meurk | At a muddy track | Thu Nov 28 09:34:11 2002
Mazell | Pollo | A dark hallway | Thu Nov 28 15:03:55 2002
Akuma | Sycho | At a muddy track | Thu Nov 28 15:46:32 2002
Akuma | Pollo | The Temple Square | Thu Nov 28 16:05:03 2002
Akuma | Pollo | The Temple Square | Thu Nov 28 16:13:02 2002
Vladmir | Penz | Main Street | Thu Nov 28 16:39:19 2002
Vladmir | Penz | The General Store | Thu Nov 28 16:45:35 2002
Vladmir | Derrek | The Magic Shop | Thu Nov 28 16:53:56 2002
Nilan | Vladmir | The Main Street | Thu Nov 28 17:14:53 2002
Penz | Nadraz | The Cross Roads | Thu Nov 28 17:37:05 2002
Pariah | Zdenka | Grassy fields | Thu Nov 28 18:12:26 2002
Mazell | Zdenka | The Dark Room | Thu Nov 28 18:20:34 2002
Pariah | Benius | The Hallway of Giants | Thu Nov 28 18:27:54 2002
Akuma | Benius | By the Temple Altar | Thu Nov 28 18:30:16 2002
Akuma | Nadraz | By the Temple Altar | Thu Nov 28 18:33:31 2002
Zdenka | Nadraz | Entrance to Mud School | Thu Nov 28 18:38:03 2002
Akuma | Nadraz | By the Temple Altar | Thu Nov 28 18:41:06 2002
Sanch | Mazell | By the Temple Altar | Thu Nov 28 18:45:46 2002
Chaiz | Mazell | Market Square | Thu Nov 28 18:46:38 2002
Nourdul | Nadraz | Entrance to Mud School | Thu Nov 28 18:48:03 2002
Zdenka | Nadraz | By the Temple Altar | Thu Nov 28 18:53:17 2002
Mazell | Sanch | Dragon Sea | Thu Nov 28 18:59:10 2002
Monica | Xarius | The dwarf forest | Thu Nov 28 20:49:59 2002
Monica | Grerk | The dwarf forest | Thu Nov 28 20:56:30 2002
Xarius | Grerk | A Shadowy Room | Fri Nov 29 00:02:03 2002
Sanch | Xarius | An Oozing Bog | Fri Nov 29 00:49:39 2002
Trustin | Derintal | The village shrine | Fri Nov 29 00:55:12 2002
Sanch | Xarius | An Oozing Bog | Fri Nov 29 00:56:43 2002
Sanch | Xarius | An Oozing Bog | Fri Nov 29 00:59:58 2002
Sanch | Xarius | An Oozing Bog | Fri Nov 29 01:06:28 2002
Trustin | Nadraz | A Safe Room | Fri Nov 29 16:12:36 2002
Trustin | Nadraz | The Pond | Fri Nov 29 16:21:41 2002
Cador | Trustin | A Rock Shelf Overlooking the Downs | Fri Nov 29 16:58:37 2002
Monica | Trustin | The village shrine | Fri Nov 29 18:21:00 2002
Antonius | Kaerk | The Imperial Road | Fri Nov 29 18:23:27 2002
Drusellam | Meurk | Main Street | Fri Nov 29 19:56:48 2002
Nhordurn | Antonius | Priest's Inner Sanctum | Fri Nov 29 20:21:29 2002
Drusellam | Antonius | The Common Square | Fri Nov 29 20:26:01 2002
Drusellam | Meurk | The Common Square | Fri Nov 29 20:30:28 2002
Drusellam | Meurk | The Leather Shop | Fri Nov 29 20:34:41 2002
Antonius | Trustin | The Inner Gates | Fri Nov 29 20:53:30 2002
Thomas | Sandra | Just inside the Castle | Sat Nov 30 16:12:47 2002
Nhordurn | Sandra | The Armoury | Sat Nov 30 16:34:18 2002
Zdenka | Sandra | The Main Street | Sat Nov 30 16:39:55 2002
Thomas | Sandra | The Main Street | Sat Nov 30 16:40:11 2002
Drusellam | Sandra | The General Store | Sat Nov 30 16:40:29 2002
Nhordurn | Zemqruba | The Bakery | Sat Nov 30 16:44:17 2002
Zemqruba | Sandra | The Holy of Holy's | Sat Nov 30 16:48:05 2002
Thomas | Sandra | The Holy of Holy's | Sat Nov 30 16:48:11 2002
Nhordurn | Zemqruba | The Bakery | Sat Nov 30 17:00:59 2002
Raekwon | Drusellam | Inside the East Gate of Midgaard | Sat Nov 30 17:16:58 2002
Raekwon | Penz | The dwarf forest | Sat Nov 30 17:23:49 2002
Zdenka | Zdenka | The Temple Of Mota | Sun Dec  1 00:31:01 2002
Penz | Kaerk | At a muddy track | Sun Dec  1 00:50:18 2002
Penz | Kaerk | At a muddy track | Sun Dec  1 01:09:01 2002
Zdenka | Zdenka | At a muddy track | Sun Dec  1 01:14:17 2002
Drusellam | Penz | Grassy fields | Sun Dec  1 01:17:33 2002
Drusellam | Kaerk | The bend in the trail in the dwarf forest | Sun Dec  1 01:27:08 2002
Drusellam | Kaerk | The village shrine | Sun Dec  1 01:38:08 2002
Zdenka | Kaerk | The village shrine | Sun Dec  1 01:38:57 2002
Sharmerlin | Kaerk | The bend in the trail in the dwarf forest | Sun Dec  1 01:46:04 2002
Karak | Kaerk | The Temple Of Mota | Sun Dec  1 11:16:42 2002
Muntinel | Muntinel | By the Temple Altar | Sun Dec  1 11:50:59 2002
Muntinel | Muntinel | By the Temple Altar | Sun Dec  1 11:52:45 2002
Manicore | Viscious | The Temple Square | Sun Dec  1 13:48:36 2002
Manicore | Sandra | Down the path into a dead end | Sun Dec  1 14:28:16 2002
Taylor | Sandra | Down the path into a dead end | Sun Dec  1 14:28:43 2002
Meurk | Zghern | The Mystical Path | Sun Dec  1 15:04:57 2002
Mazell | Mazell | A small hallway | Sun Dec  1 15:16:00 2002
Nhordurn | Penz | The Armoury | Sun Dec  1 17:56:13 2002
Karak | Penz | Alley at Levee | Sun Dec  1 18:10:56 2002
Karak | Narin | The Pet Shop | Sun Dec  1 18:21:32 2002
Lanceweiser | Penz | Park Entrance | Sun Dec  1 18:26:55 2002
Karak | Penz | Park Cafe | Sun Dec  1 18:27:32 2002
Lanceweiser | Penz | The Common Square | Sun Dec  1 18:30:22 2002
Karak | Penz | At a muddy track | Sun Dec  1 18:40:38 2002
Karak | Penz | At a muddy track | Sun Dec  1 18:42:22 2002
Karak | Penz | At a muddy track | Sun Dec  1 18:42:58 2002
Karak | Penz | The village shrine | Sun Dec  1 18:43:39 2002
Karak | Penz | The village shrine | Sun Dec  1 18:44:47 2002
Karak | Penz | At a muddy track | Sun Dec  1 18:45:24 2002
Mazell | Sandra | A Small Home | Sun Dec  1 19:48:41 2002
Massadi | Sandra | By the Temple Altar | Sun Dec  1 20:01:28 2002
Sincere | Sandra | The Temple Of Mota | Sun Dec  1 20:03:04 2002
Sincere | Sandra | The Temple Square | Sun Dec  1 20:19:00 2002
Sincere | Meurk | Market Square | Sun Dec  1 20:25:26 2002
Sincere | Meurk | The Common Square | Sun Dec  1 20:32:25 2002
Radeon | Mazell | Market Square | Sun Dec  1 23:03:20 2002
Mazell | Drusellam | Small path in the park | Sun Dec  1 23:16:08 2002
Zdenka | Vladmir | Inside the HQ | Mon Dec  2 04:08:16 2002
Vladmir | Zdenka | The chapel | Mon Dec  2 04:14:44 2002
Thorifin | Zghern | Inside the East Gate of Midgaard | Mon Dec  2 15:16:34 2002
Thorifin | Kaerk | By the Temple Altar | Mon Dec  2 19:57:11 2002
Penz | Zghern | By the Temple Altar | Mon Dec  2 20:23:16 2002
Akuma | Zghern | Inside the East Gate of Midgaard | Mon Dec  2 20:32:58 2002
Sanch | Zghern | Inside the East Gate of Midgaard | Mon Dec  2 20:37:21 2002
Karak | Zghern | The Throne Room | Mon Dec  2 21:35:19 2002
Ispep | Kaerk | The Void | Mon Dec  2 22:01:44 2002
Karak | Penz | By the Temple Altar | Mon Dec  2 22:07:02 2002
Karak | Penz | By the Temple Altar | Mon Dec  2 22:10:05 2002
Ispep | Penz | Main Street | Mon Dec  2 22:10:47 2002
Mirkon | Zrialynith | Impy Way | Mon Dec  2 22:48:20 2002
Grerk | Zrialynith | Path in the plains | Mon Dec  2 22:59:52 2002
Mazell | Grerk | Squire Barracks | Mon Dec  2 23:01:26 2002
Grerk | Zrialynith | Storage Room | Mon Dec  2 23:08:35 2002
Mazell | Dante | By the Temple Altar | Tue Dec  3 00:23:42 2002
Darrien | Darrien | The Temple Of Mota | Tue Dec  3 02:55:50 2002
Darrien | Darrien | The Temple Of Mota | Tue Dec  3 02:56:38 2002
Mazell | Penz | The General Store | Tue Dec  3 11:56:05 2002
Mazell | Xarius | Archway before the Temple of Chaos | Tue Dec  3 12:12:32 2002
Inouye | Wijke | A bend in the dim trail in the dwarf forest | Tue Dec  3 17:48:10 2002
Inouye | Zdenka | A valley in the dark dwarf forest | Tue Dec  3 17:53:16 2002
Artren | Mazell | The dwarf forest | Tue Dec  3 17:55:38 2002
Mazell | Tertalith | Terror Chamber | Tue Dec  3 18:04:09 2002
Zghern | Tertalith | The Entrance | Tue Dec  3 18:14:01 2002
cloaked figure | Tertalith | In the Shaft from the Dragon Chamber | Tue Dec  3 18:15:00 2002
Narin | Tertalith | Inside the Great Hall | Tue Dec  3 19:01:37 2002
Tertalith | Penz | Above the Dragon Chamber | Tue Dec  3 19:13:14 2002
Richard | Kaerk | Inside the East Gate of Midgaard | Tue Dec  3 19:29:18 2002
Tertalith | Kaerk | By the Temple Altar | Tue Dec  3 19:49:22 2002
Zdenka | Kaerk | The Throne Room | Tue Dec  3 19:53:01 2002
Artren | Kaerk | By the beautiful waterfall | Tue Dec  3 19:59:24 2002
Artren | Kaerk | A dim trail in the dwarf forest | Tue Dec  3 20:05:36 2002
Monica | Kaerk | By the beautiful waterfall | Tue Dec  3 20:08:12 2002
Artren | Zghern | A Dank Tunnel | Tue Dec  3 20:17:31 2002
Artren | Kaerk | The Temple Of Mota | Tue Dec  3 20:28:05 2002
Ravna | Zghern | A rough trail | Tue Dec  3 20:43:32 2002
Drew | Inouye | The Main Street | Tue Dec  3 21:14:48 2002
Oogarhar | Tertalith | Inside the East Gate of Midgaard | Tue Dec  3 22:50:45 2002
Inouye | Tertalith | The castle dungeon | Tue Dec  3 22:59:41 2002
Zemqruba | Sycho | The bend in the trail in the dwarf forest | Wed Dec  4 17:52:02 2002
Oogarhar | Nadraz | The bend in the trail in the dwarf forest | Wed Dec  4 17:52:11 2002
Drusellam | Kaerk | At a muddy track | Wed Dec  4 17:52:20 2002
Sycho | Nadraz | The Common Square | Wed Dec  4 17:55:01 2002
Zemqruba | Zemqruba | Before a massive cave, on the mountainside | Wed Dec  4 18:01:06 2002
Sycho | Zemqruba | A Dank Tunnel | Wed Dec  4 18:04:29 2002
Gnat | Trustin | NO MAN'S LAND | Wed Dec  4 18:06:28 2002
Oogarhar | Allanon | Levee | Wed Dec  4 18:53:24 2002
Drew | Drusellam | By the Temple Altar | Wed Dec  4 19:34:08 2002
Drusellam | Zghern | Entrance to the Grunting Boar Inn | Wed Dec  4 19:35:32 2002
Drusellam | Mazell | Market Square | Wed Dec  4 19:45:31 2002
Oogarhar | Gnat | Alley at Levee | Wed Dec  4 21:04:10 2002
Gnat | Quezphiel | Wall Road | Wed Dec  4 21:05:56 2002
Quezphiel | Thorifin | Market Square | Wed Dec  4 21:09:27 2002
Oogarhar | Zemqruba | Grebe's Tavern | Wed Dec  4 21:29:42 2002
Zemqruba | Penz | Entering the village | Wed Dec  4 21:38:09 2002
Inouye | Penz | Along the Eastern Road | Wed Dec  4 21:56:59 2002
Nepthys | Nepthys | The Temple Of Mota | Wed Dec  4 21:58:58 2002
Penz | Drew | Third Level | Thu Dec  5 12:28:00 2002
Drew | Penz | The bend in the trail in the dwarf forest | Thu Dec  5 13:30:37 2002
Allanon | Pollo | The Inner Gates | Thu Dec  5 13:31:05 2002
Drew | Penz | By the beautiful waterfall | Thu Dec  5 13:31:46 2002
Allanon | Penz | Market Square | Thu Dec  5 13:38:07 2002
Allanon | Penz | The Temple Square | Thu Dec  5 13:41:19 2002
Penz | Tertalith | The Main Street | Thu Dec  5 13:46:20 2002
Drusellam | Tertalith | Entering the village | Thu Dec  5 14:46:50 2002
Corvus | Oogarhar | By the Temple Altar | Thu Dec  5 15:29:43 2002
Trustin | Oogarhar | By the beautiful waterfall | Thu Dec  5 15:34:39 2002
Corvus | Oogarhar | At a muddy track | Thu Dec  5 15:39:16 2002
Cyphilis | Oogarhar | Market Square | Thu Dec  5 16:44:55 2002
cloaked figure | Penz | By the beautiful waterfall | Thu Dec  5 17:14:53 2002
Trustin | Xarius | The Gate Before the Tower | Thu Dec  5 21:16:36 2002
Tilrith | Xarius | Market Square | Thu Dec  5 21:23:19 2002
Tilrith | Xarius | Market Square | Thu Dec  5 21:26:35 2002
Cyphilis | Xarius | Levee | Thu Dec  5 21:41:52 2002
Cyphilis | Penz | Market Square | Thu Dec  5 21:50:22 2002
Tilrith | Penz | The Entrance | Thu Dec  5 21:52:31 2002
Datya | Penz | By the Temple Altar | Thu Dec  5 21:59:11 2002
Datya | Xarius | Melancholy's Room | Thu Dec  5 22:04:17 2002
Cyphilis | Zghern | On the River | Thu Dec  5 22:24:13 2002
Zghern | Pollo | Entrance to the Fire Giant Village | Fri Dec  6 18:29:31 2002
Norsus | Zghern | By the Temple Altar | Fri Dec  6 18:34:50 2002
Tilrith | Zghern | By the Temple Altar | Fri Dec  6 18:36:43 2002
Allanon | Zghern | By the Temple Altar | Fri Dec  6 18:38:24 2002
Norsus | Zghern | The Temple Of Mota | Fri Dec  6 18:38:36 2002
Monica | Meurk | Entrance to Priest's Guild | Fri Dec  6 18:48:48 2002
Mosby | Trustin | Nearing a Stone Bridge | Fri Dec  6 20:16:22 2002
Mosby | Nadraz | A Four-Way Junction | Fri Dec  6 20:26:30 2002
Mosby | Nadraz | The Outskirts of the Village | Fri Dec  6 20:35:40 2002
Mosby | Nadraz | The Mouth of a Cave | Fri Dec  6 20:38:04 2002
Mosby | Nadraz | The Flickering Tunnel | Fri Dec  6 20:41:14 2002
Mosby | Nadraz | Cave Entrance | Fri Dec  6 20:44:53 2002
Krackin | Meurk | By the Temple Altar | Fri Dec  6 21:37:48 2002
Krackin | Meurk | The Mouth of a Cave | Fri Dec  6 21:41:30 2002
Oogarhar | Kaerk | Standing in the Courtyard | Fri Dec  6 21:45:04 2002
Tilrith | Meurk | Near the Sands of Sorrow | Fri Dec  6 21:54:00 2002
Tilrith | Meurk | By the Temple Altar | Fri Dec  6 21:58:25 2002
Tilrith | Meurk | Melancholy's Room | Fri Dec  6 22:07:36 2002
Norsus | Allanon | By the Temple Altar | Fri Dec  6 22:13:43 2002
Oogarhar | Allanon | By the Temple Altar | Fri Dec  6 22:16:30 2002
Norsus | Allanon | By the Temple Altar | Fri Dec  6 22:18:55 2002
Norsus | Allanon | Inside a study | Fri Dec  6 22:24:47 2002
Oogarhar | Meurk | Melancholy's Maps | Fri Dec  6 22:25:41 2002
Norsus | Meurk | The Mystical Path | Fri Dec  6 22:30:29 2002
Meurk | Grerk | The Inner Gates | Fri Dec  6 23:05:18 2002
Cyphilis | Norsus | Market Square | Sat Dec  7 00:02:43 2002
Stevenson | Norsus | Market Square | Sat Dec  7 00:02:51 2002
Zane | Drusellam | Inside the East Gate of Midgaard | Sat Dec  7 00:14:20 2002
Drusellam | Meurk | The Mystical Path | Sat Dec  7 00:30:45 2002
Norsus | Drusellam | By the Temple Altar | Sat Dec  7 00:34:43 2002
Adrosener | Drusellam | By the beautiful waterfall | Sat Dec  7 00:44:36 2002
Meurk | Drusellam | Entering the village | Sat Dec  7 00:46:48 2002
Meurk | Zdenka | Entering the village | Sat Dec  7 00:47:41 2002
Meurk | Zdenka | Entering the village | Sat Dec  7 00:48:46 2002
Cyphilis | Drusellam | Inside the East Gate of Midgaard | Sat Dec  7 00:57:52 2002
Hulios | Zdenka | The Common Square | Sat Dec  7 00:58:16 2002
Drusellam | Meurk | On the Bridge of Nebulae | Sat Dec  7 01:22:21 2002
Morgren | Meurk | A Small Clearing | Sat Dec  7 01:24:09 2002
Drusellam | Meurk | The Temple Square | Sat Dec  7 01:42:56 2002
Morgren | Adrosener | At a muddy track | Sat Dec  7 01:44:31 2002
Morgren | Meurk | By the Temple Altar | Sat Dec  7 02:01:47 2002
Meurk | Tertalith | Forest Road | Sat Dec  7 09:23:06 2002
Meurk | Tertalith | The Mystical Path | Sat Dec  7 10:10:41 2002
Meurk | Tertalith | Along the Milky Way | Sat Dec  7 10:23:13 2002
Zghern | Tertalith | The Mouth of a Cave | Sat Dec  7 10:49:43 2002
Allanon | Tertalith | Before the Tower | Sat Dec  7 11:33:22 2002
Morgren | Tertalith | In the air ... | Sat Dec  7 11:54:47 2002
Krackin | Trustin | By the beautiful waterfall | Sat Dec  7 17:28:14 2002
Morgren | Dustyn | At a muddy track | Sat Dec  7 18:43:51 2002
Oogarhar | Kaerk | Village road | Sat Dec  7 19:45:42 2002
Krackin | Meurk | Landing | Sat Dec  7 19:53:19 2002
Harvey | Allanon | A small room. | Sun Dec  8 02:14:25 2002
Allanon | Penz | Fourth Level | Sun Dec  8 02:44:55 2002
Penz | Sandra | A bend in the dim trail in the dwarf forest | Sun Dec  8 13:09:59 2002
Harvey | Sandra | A bend in the dim trail in the dwarf forest | Sun Dec  8 13:10:02 2002
Harvey | Sandra | By the beautiful waterfall | Sun Dec  8 13:13:00 2002
Morgren | Sandra | At a muddy track | Sun Dec  8 13:39:50 2002
Morgren | Kaerk | The Inner Gates | Sun Dec  8 13:54:54 2002
Harvey | Heiskler | The Cross Roads | Sun Dec  8 14:47:23 2002
Allanon | Heiskler | The General Store | Sun Dec  8 15:10:43 2002
Kaerk | Morgren | A bend in the dim trail in the dwarf forest | Sun Dec  8 15:56:06 2002
Harvey | Brutys | The Temple Square | Sun Dec  8 16:06:51 2002
Harvey | Harvey | The Temple Square | Sun Dec  8 16:13:56 2002
Kaerk | Morgren | The bend in the trail in the dwarf forest | Sun Dec  8 16:52:30 2002
Krackin | Tertalith | The Crossroads | Sun Dec  8 16:59:34 2002
Brogg | Tertalith | A trail in the dwarf forest | Sun Dec  8 17:07:49 2002
Brutys | Morgren | A trail in the dwarf forest | Sun Dec  8 17:12:34 2002
Zghern | Morgren | The village shrine | Sun Dec  8 17:28:41 2002
Zghern | Morgren | At a muddy track | Sun Dec  8 17:41:12 2002
Valerik | Taylor | At a muddy track | Sun Dec  8 17:41:20 2002
Valerik | Morgren | At a muddy track | Sun Dec  8 17:45:05 2002
Rezaf | Penz | Village road | Sun Dec  8 18:19:47 2002
Morgren | Penz | Village road | Sun Dec  8 18:24:13 2002
Rezaf | Penz | Village road | Sun Dec  8 18:27:47 2002
Rezaf | Sandra | Outside the Tower | Sun Dec  8 18:33:41 2002
Penz | Sandra | Beneath the Archway | Sun Dec  8 18:46:36 2002
Morgren | Sandra | At a muddy track | Sun Dec  8 18:47:58 2002
Ceidak | Morgren | The Mystical Path | Sun Dec  8 19:08:18 2002
Ceidak | Morgren | The Mystical Path | Sun Dec  8 19:12:10 2002
Ceidak | Morgren | The village shrine | Sun Dec  8 19:26:55 2002
Ceidak | Morgren | The Throne Room of the Nebula King | Sun Dec  8 19:39:19 2002
Brutys | Ceidak | At a muddy track | Sun Dec  8 19:48:21 2002
Corvus | Oogarhar | At a muddy track | Sun Dec  8 21:05:26 2002
Ceidak | Morgren | By the beautiful waterfall | Sun Dec  8 21:11:31 2002
Ceidak | Morgren | At a muddy track | Sun Dec  8 21:14:21 2002
Corvus | Oogarhar | The dwarf forest | Sun Dec  8 21:18:15 2002
Penz | Oogarhar | The Mouth of a Cave | Sun Dec  8 21:40:43 2002
Brutys | Allanon | By the Temple Altar | Sun Dec  8 23:32:11 2002
Allanon | Brutys | Main Street | Sun Dec  8 23:37:15 2002
Allanon | Tertalith | Market Square | Sun Dec  8 23:43:57 2002
Akuma | Tertalith | By the beautiful waterfall | Sun Dec  8 23:59:43 2002
Akuma | Grerk | Market Square | Mon Dec  9 00:03:49 2002
Drew | Grerk | Market Square | Mon Dec  9 00:07:13 2002
Drew | Brutys | The Grunting Boar | Mon Dec  9 00:10:12 2002
Quezphiel | Tertalith | Market Square | Mon Dec  9 00:16:40 2002
Brogg | Tertalith | Entering the village | Mon Dec  9 02:26:24 2002
Zandar | Brogg | Inside the East Gate of Midgaard | Mon Dec  9 02:33:47 2002
Zandar | Tertalith | Western side of the Grand Tent | Mon Dec  9 03:55:19 2002
Corvus | Darrien | Outside the Tower | Mon Dec  9 13:16:16 2002
Corvus | Xarius | Market Square | Mon Dec  9 13:37:19 2002
Xarius | Zghern | Archway before the Temple of Chaos | Mon Dec  9 13:41:38 2002
Corvus | Xarius | Archway before the Temple of Chaos | Mon Dec  9 13:46:32 2002
Celest | Denglod | By the Temple Altar | Mon Dec  9 15:01:45 2002
Zghern | Oogarhar | The village shrine | Mon Dec  9 15:30:36 2002
Corvus | Brogg | The Hallway of Giants | Mon Dec  9 15:45:45 2002
Corvus | Kaerk | By the beautiful waterfall | Mon Dec  9 15:53:07 2002
Brogg | Kaerk | At a muddy track | Mon Dec  9 15:54:34 2002
Corvus | Oogarhar | At a muddy track | Mon Dec  9 15:56:55 2002
Panir | Morgren | The village shrine | Mon Dec  9 16:19:10 2002
Sycho | Panir | A dim trail in the dwarf forest | Mon Dec  9 16:35:04 2002
Morgren | Zghern | A stairwell | Mon Dec  9 16:37:49 2002
Zanidar | Panir | Altar of the Damned | Mon Dec  9 16:44:24 2002
Corvus | Oogarhar | A dim trail in the dwarf forest | Mon Dec  9 18:17:19 2002
Ceesha | Morgren | The Cross Roads | Mon Dec  9 18:23:30 2002
Nadraz | Morgren | At a muddy track | Mon Dec  9 18:52:23 2002
Ceesha | Morgren | By the beautiful waterfall | Mon Dec  9 18:54:11 2002
Ceesha | Harvey | By the beautiful waterfall | Mon Dec  9 18:57:52 2002
Trustin | Morgren | By the beautiful waterfall | Mon Dec  9 19:04:17 2002
Corvus | Harvey | By the Temple Altar | Mon Dec  9 19:08:40 2002
Duff | Oogarhar | At a muddy track | Mon Dec  9 19:13:59 2002
Allanon | Nadraz | The Grunting Boar | Mon Dec  9 19:15:35 2002
Akuma | Trustin | The bend in the trail in the dwarf forest | Mon Dec  9 19:27:25 2002
Duff | Rezaf | At a muddy track | Mon Dec  9 19:27:39 2002
Rezaf | Nadraz | The bend in the trail in the dwarf forest | Mon Dec  9 19:31:24 2002
Duff | Nadraz | The bend in the trail in the dwarf forest | Mon Dec  9 19:31:44 2002
Akuma | Trustin | The bend in the trail in the dwarf forest | Mon Dec  9 19:44:34 2002
Akuma | Boren | Outside the East Gate of Midgaard | Mon Dec  9 19:58:13 2002
Akuma | Trustin | The Main Street | Mon Dec  9 20:01:42 2002
Boren | Trustin | Inside the East Gate of Midgaard | Mon Dec  9 20:02:00 2002
Doren | Morgren | At a muddy track | Mon Dec  9 20:31:45 2002
Doren | Morgren | By the beautiful waterfall | Mon Dec  9 20:32:25 2002
Trustin | Oogarhar | A trail in the dwarf forest | Mon Dec  9 20:39:07 2002
Trustin | Morgren | The Valley in the dark dwarf forest | Mon Dec  9 20:47:57 2002
Duff | Morgren | At a muddy track | Mon Dec  9 21:01:15 2002
Trustin | Oogarhar | Small path in the park | Mon Dec  9 21:08:50 2002
Benius | Zghern | A dim trail in the dwarf forest | Mon Dec  9 21:28:00 2002
Drakon | Tertalith | Along the Eastern Road | Mon Dec  9 21:38:38 2002
Horvath | Tertalith | By the Temple Altar | Mon Dec  9 21:52:14 2002
cloaked figure | Tertalith | By the Temple Altar | Mon Dec  9 22:07:47 2002
Dalvin | Tertalith | By the Temple Altar | Mon Dec  9 22:09:58 2002
Drakon | Tertalith | Market Square | Mon Dec  9 22:15:56 2002
Narin | Zdenka | A dim trail in the dwarf forest | Mon Dec  9 22:38:34 2002
Rezaf | Darrien | A trail in the dwarf forest | Mon Dec  9 22:51:07 2002
Rezaf | Darrien | By the beautiful waterfall | Mon Dec  9 22:53:59 2002
Rezaf | Trustin | Small path in the park | Mon Dec  9 22:58:38 2002
Narin | Grerk | A trail in the dwarf forest | Mon Dec  9 23:04:28 2002
Rezaf | Grerk | A trail in the dwarf forest | Mon Dec  9 23:04:53 2002
Grerk | Rezaf | At a muddy track | Mon Dec  9 23:07:11 2002
Rezaf | Grerk | At a muddy track | Mon Dec  9 23:07:11 2002
Trustin | Grerk | At a muddy track | Mon Dec  9 23:07:11 2002
Grerk | Grerk | A Large Hall | Mon Dec  9 23:14:15 2002
Derrek | Dante | Inside the East Gate of Midgaard | Mon Dec  9 23:32:42 2002
Raekwon | Trustin | By the Temple Altar | Mon Dec  9 23:35:20 2002
Trustin | Narin | By the Temple Altar | Mon Dec  9 23:36:57 2002
Narin | Grerk | At a muddy track | Mon Dec  9 23:41:56 2002
Trustin | Nilan | At a muddy track | Mon Dec  9 23:44:13 2002
Grerk | Nilan | Grassy fields | Mon Dec  9 23:45:24 2002
Nilan | Grerk | A hallway in the castle | Mon Dec  9 23:47:18 2002
Raekwon | Brutys | The Entrance | Mon Dec  9 23:50:50 2002
Doren | Klandevu | By the Temple Altar | Tue Dec 10 00:45:26 2002
Darrien | Darrien | The Tomb of Ramses | Tue Dec 10 02:20:50 2002
Nordath | Dante | The Armoury | Tue Dec 10 07:12:45 2002
Guherf | Doren | A triple junction | Tue Dec 10 13:52:07 2002
Trustin | Nadraz | The Hallway | Tue Dec 10 16:27:42 2002
Guherf | Doren | The Quadruple Junction Under the Dump | Tue Dec 10 17:34:22 2002
Guherf | Doren | The Quadruple Junction Under the Dump | Tue Dec 10 17:35:48 2002
Drakon | Alaine | Inside the Slave Pens | Tue Dec 10 17:36:07 2002
Guherf | Doren | The Quadruple Junction Under the Dump | Tue Dec 10 17:38:25 2002
Doren | Doren | Market Square | Tue Dec 10 18:08:23 2002
Tilrith | Nadraz | The Entrance | Tue Dec 10 18:26:35 2002
Tilrith | Nadraz | By the Temple Altar | Tue Dec 10 18:34:38 2002
Sharmerlin | Alaine | At a muddy track | Tue Dec 10 19:37:21 2002
Xarius | Meurk | Melancholy's Room | Tue Dec 10 20:12:13 2002
Louko | Alaine | Archway before the Temple of Chaos | Tue Dec 10 20:12:59 2002
Horvath | Alaine | The Shadow Grove | Tue Dec 10 20:18:31 2002
Xarius | Meurk | Melancholy's Room | Tue Dec 10 20:18:46 2002
Xarius | Pollo | Entrance to the Grunting Boar Inn | Tue Dec 10 20:34:51 2002
Morgren | Alaine | The village shrine | Tue Dec 10 21:25:44 2002
Doren | Alaine | Penguin Room | Tue Dec 10 23:29:16 2002
Doren | Dante | Fourth Level | Tue Dec 10 23:44:04 2002
Doren | Atari | The Void | Wed Dec 11 00:39:40 2002
Zanidar | Alaine | Market Square | Wed Dec 11 01:21:18 2002
Zanidar | Dante | Market Square | Wed Dec 11 01:25:33 2002
Zandar | Alaine | Corridor in the Barracks | Wed Dec 11 01:26:53 2002
Zandar | Dante | Market Square | Wed Dec 11 01:29:58 2002
Mirkon | Dante | Entrance to the Palace | Thu Dec 12 00:35:18 2002
Duff | Alaine | Main Street | Thu Dec 12 15:16:26 2002
Duff | Alaine | The Main Street | Thu Dec 12 15:20:35 2002
Brutys | Dante | The Grunting Boar | Thu Dec 12 16:57:16 2002
Drusellam | Sandra | Entrance to the Grunting Boar Inn | Thu Dec 12 17:01:47 2002
Tilrith | Sandra | The Temple Of Mota | Thu Dec 12 17:19:03 2002
Tilrith | Sandra | The Temple Square | Thu Dec 12 17:21:53 2002
Sandra | Dante | The Mystical Path | Thu Dec 12 17:24:23 2002
Drusellam | Dante | Austral Square | Thu Dec 12 17:40:55 2002
Drazn | Morgren | The dwarf forest | Thu Dec 12 17:48:59 2002
Drazn | Morgren | Under the Dark Pit | Thu Dec 12 17:59:42 2002
Drazn | Morgren | By the beautiful waterfall | Thu Dec 12 18:06:13 2002
Duff | Morgren | By the beautiful waterfall | Thu Dec 12 18:10:32 2002
Trustin | Morgren | By the beautiful waterfall | Thu Dec 12 18:16:50 2002
Drazn | Morgren | At a muddy track | Thu Dec 12 18:17:01 2002
Trustin | Morgren | The bend in the trail in the dwarf forest | Thu Dec 12 18:25:20 2002
Morgren | Kaerk | Grassy fields | Thu Dec 12 18:48:16 2002
Kryth | Trustin | At a muddy track | Thu Dec 12 18:51:29 2002
Kryth | Nordath | At a muddy track | Thu Dec 12 20:12:55 2002
